"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-A-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-B-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-C-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-A-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-B-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-C-Unsol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_AI.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-B.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-C.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-A-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-B-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-A-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-C-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_AI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_BI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_CI.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_CI.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-B.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-3-C.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-11-4-C.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-A.raw.dia"	"E:\dh_dag\out_927\tmp\DEDO-WT-B.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_BI.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-11-4-C-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\010_2023-DEDO-WT-B-Sol.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_AS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_BS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_AS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_BS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_WT_CS.raw.dia"	"E:\dh_dag\out_927\tmp\342_2022_11_CS.raw.dia"
"Tb927.5.1680:mRNA-p1"	20275833.4035953	19409862.7984237	18708427.7196183	19271226.2090678	18564487.5687796	18351082.9780077	18055257.7463472	9874557.88675239	9502044.55309024	8898898.89130504	2357362.96763775	2164405.16316262	1715232.69326116	979610.869665813	20243791.3459221	19477663.1296676	19559484.6541576	18802794.5325324	9791033.55983051	9913081.68787357	9537223.32310083	9851397.60841648	8848834.88075931	8602051.97864425	18777322.2679367	1882583.85241463	1331076.2806405	1306295.76399358	1220176.62662563	750494.473893116	998379.898264124	701407.803868924	1099319.4130706
"Tb927.1.840:mRNA-p1"	NA	NA	NA	NA	NA	NA	NA	1177844.00951473	1239311.3230385	1002272.96669143	NA	184332.407785933	NA	734386.768325026	NA	NA	NA	NA	1069982.97851347	1267500.40168968	1343672.95328561	1166851.43207648	898895.239980457	1052069.14861409	156659.504139667	338918.876718485	540211.330279714	419274.476983745	307557.550886307	677965.54980719	449237.836757654	506022.749787721	299397.483913453
"Tb927.8.6200:mRNA-p1"	NA	NA	NA	5706678.29972136	NA	NA	NA	10755200.3480808	10568136.9738568	11348452.1589973	10467488.0500882	10140230.9244922	11368786.5217262	10832146.1255613	NA	NA	NA	NA	10816980.7082403	10270355.4162922	10174969.2392265	10410244.7643727	10510636.8435004	10686354.7550254	NA	9061676.00491465	11295958.7266375	9558211.6516235	9093587.19146641	10341151.1523174	10875025.2877763	10862000.5230398	8936475.69297894
"Tb11.v5.0650.1-p1;Tb927.10.2890:mRNA-p1"	50902848.8559993	38684385.0230946	42270431.8319998	46424402.7828244	46315677.7049672	44361422.2488442	45510818.6126911	1974627829.7443	1974054853.66655	2172485704.93679	2142529565.90971	2142349291.50125	2087340949.43022	2047320372.99583	36687384.3071973	32188153.372474	55058576.3246975	53885922.5319214	2066981816.33251	1956810378.62326	1933398839.38264	1860645030.71358	2169715717.51336	2241686920.34836	49776181.3204235	2102164309.30778	2070595967.87142	2088203672.51478	2020426699.02324	2291053384.67856	2180068287.13274	2233663018.90723	2034769188.20629
"Tb927.10.1310:mRNA-p1"	509217.582169456	452040.897110493	627160.106276608	781732.168827045	601928.740026221	426750.88455442	497796.359685847	4233759.37010351	4000563.30535871	3974267.90146631	4195551.62639585	3828733.17231412	4028407.36063113	3607077.6576434	439516.621680059	521153.543854069	566735.993488049	502450.658494984	3801658.86817765	4134331.15474499	3608255.71851591	3982205.84275747	3782250.77455732	4200182.5535703	616633.421733791	3475222.73479005	3842129.13201265	3019374.50140886	3040795.75233537	3482928.27271633	3773037.76671371	3623408.88282202	3424348.58360411
"Tb927.3.2050:mRNA-p1"	23990396.987927	25501434.1438616	24790110.4822192	30414888.8755459	30653690.7910301	31017265.1196946	34508035.6264956	16472410.8918469	16259138.9898116	18122530.5037417	7112058.394729	7284320.08863568	6415584.12238259	6273652.03823779	29884352.468064	29319566.2346498	29327112.5311348	33797289.8859413	16537319.4735637	16912168.4976364	16512493.4225706	17020253.2265776	18170360.0816779	18213906.5385636	35064977.8144695	7520969.41491822	6396194.07141049	6574692.09904263	6179352.92423683	4733273.31617103	5048445.58477611	4491588.83131456	6481449.21920658
"Tb927.1.3300:mRNA-p1"	1465911.53445171	1093992.13430437	664775.456845697	696375.328993153	1050078.96945729	604770.231333144	1448530.71595479	14516035.8492951	14453904.1510486	14141576.1019397	17241308.5181471	16053215.2542294	15566647.314718	13499207.8214923	693452.46608663	841577.238419874	877707.1467921	714563.430457949	14322182.7319256	14234650.6712813	14266743.3493648	14626868.8940169	12808155.1126949	11984419.0916139	818785.769141687	15670172.8787327	13498497.3685668	16062303.3416116	15881164.4672167	13973547.3234428	15320793.4538044	17078926.2915978	15971196.1823538
"Tb927.3.5340:mRNA-p1"	3588358.83927816	2849031.01183139	2722218.20558257	3528913.83691541	3295730.90302717	3217579.07776526	2368450.6323589	179040541.209911	188583445.300582	154515838.989464	167348199.310872	178651364.485219	200488800.941153	202015999.394751	1676809.10811828	1799749.99997502	3237024.38509078	4158833.26355608	151775490.093509	197655365.94089	194985532.880551	175013297.1485	181544146.29524	197735822.839953	3732497.13827443	178842786.876945	202488502.31502	157138012.324073	164212696.660897	181923412.750739	193987539.114863	182503663.731053	170064722.78964
"Tb11.v5.0271.1-p1;Tb927.10.6350:mRNA-p1"	26341409.305037	26339817.6641081	26084987.008947	27355136.1439934	25202706.1859174	25551025.2938375	23739416.7415966	11447246.9695427	10805390.2979249	10946473.9921658	1786405.06745508	2020849.30383494	2149222.17021639	2070230.80242649	25491705.5448499	26274122.7932705	27697958.1265201	24778491.865015	10323715.2082894	10709535.531594	11406586.5538246	10057043.1685377	11368936.9093674	11743931.9731628	25188437.3171466	2377274.19310971	2344891.49436998	1972794.09611186	1729758.36711718	1571837.30719008	2199571.08527781	1877394.57210996	1741885.95544784
"Tb927.5.3170:mRNA-p1"	1858085.6506506	1528522.5000879	1906026.24440647	1584812.50010431	1499826.39395911	1469594.47661174	1288659.09153677	35131477.2302343	33560322.502909	31475248.6507334	37007534.7024935	35720850.006567	37073452.6747915	33114995.4449048	1891238.47115393	1899322.75470922	2070960.38963949	1826903.02086823	33593615.1771731	34045136.2761794	33578895.9519999	34526545.523054	33208227.1312795	33816845.1116903	1359952.20025978	33675074.228888	35275867.0662067	35599086.6487787	32226994.158174	32303022.1585736	32604108.4630436	31915576.4511542	32814217.6728913
